iter	Passed	Remaining
0	134	134633
1	140	70109
2	146	48610
3	152	37894
4	158	31512
5	162	26904
6	168	23838
7	175	21719
8	181	19966
9	187	18609
10	194	17464
11	200	16491
12	206	15685
13	212	14959
14	218	14339
15	224	13789
16	227	13170
17	230	12600
18	233	12075
19	236	11594
20	239	11160
21	242	10766
22	244	10402
23	247	10075
24	250	9768
25	252	9467
26	255	9208
27	258	8974
28	261	8752
29	264	8548
30	267	8366
31	270	8184
32	273	8017
33	276	7854
34	279	7698
35	281	7546
36	284	7405
37	287	7273
38	290	7158
39	293	7036
40	295	6922
41	298	6812
42	301	6707
43	304	6608
44	306	6514
45	309	6420
46	312	6333
47	315	6249
48	317	6166
49	320	6091
50	323	6017
51	326	5944
52	328	5874
53	331	5807
54	334	5744
55	337	5691
56	340	5633
57	343	5576
58	346	5521
59	349	5470
60	352	5419
61	354	5370
62	358	5327
63	361	5280
64	364	5236
65	367	5196
66	369	5151
67	372	5107
68	375	5065
69	378	5023
70	380	4985
71	383	4945
72	386	4909
73	389	4872
74	391	4832
75	394	4797
76	397	4763
77	400	4728
78	402	4693
79	405	4661
80	408	4632
81	411	4602
82	414	4574
83	417	4548
84	419	4518
85	422	4491
86	425	4461
87	427	4433
88	430	4406
89	433	4378
90	435	4352
91	438	4325
92	440	4298
93	443	4272
94	446	4249
95	448	4223
96	450	4198
97	453	4174
98	455	4150
99	458	4125
100	461	4105
101	463	4082
102	466	4062
103	469	4043
104	471	4023
105	474	4001
106	477	3981
107	479	3962
108	482	3943
109	484	3923
110	487	3906
111	490	3888
112	493	3870
113	495	3852
114	498	3833
115	500	3816
116	504	3803
117	506	3788
118	509	3773
119	512	3759
120	515	3743
121	518	3728
122	520	3713
123	523	3699
124	527	3689
125	529	3676
126	532	3661
127	535	3645
128	537	3630
129	540	3615
130	543	3602
131	545	3588
132	548	3574
133	550	3559
134	553	3544
135	555	3530
136	558	3518
137	561	3504
138	563	3491
139	566	3477
140	568	3464
141	571	3452
142	574	3440
143	602	3582
144	605	3570
145	608	3560
146	612	3553
147	615	3545
148	618	3534
149	622	3524
150	624	3511
151	627	3498
152	629	3484
153	631	3471
154	634	3459
155	637	3446
156	639	3435
157	642	3423
158	645	3412
159	647	3401
160	650	3389
161	652	3377
162	655	3365
163	658	3354
164	660	3342
165	663	3331
166	665	3320
167	668	3309
168	671	3302
169	674	3292
170	677	3284
171	680	3274
172	682	3263
173	685	3253
174	688	3244
175	691	3235
176	694	3226
177	696	3218
178	699	3208
179	702	3199
180	705	3191
181	707	3181
182	710	3172
183	713	3162
184	715	3152
185	718	3142
186	720	3133
187	723	3124
188	725	3114
189	728	3105
190	730	3095
191	733	3086
192	736	3078
193	738	3069
194	741	3061
195	744	3052
196	746	3042
197	749	3034
198	751	3025
199	754	3016
200	756	3008
201	759	3000
202	762	2991
203	764	2983
204	767	2974
205	769	2966
206	772	2958
207	774	2950
208	777	2941
209	779	2933
210	782	2925
211	784	2917
212	787	2909
213	789	2901
214	792	2894
215	795	2888
216	798	2880
217	800	2872
218	803	2865
219	806	2858
220	809	2852
221	811	2844
222	814	2837
223	816	2830
224	819	2823
225	822	2816
226	825	2810
227	828	2804
228	830	2797
229	833	2791
230	836	2785
231	840	2780
232	842	2773
233	845	2766
234	847	2759
235	850	2751
236	852	2744
237	855	2738
238	857	2731
239	860	2723
240	862	2717
241	865	2711
242	868	2705
243	871	2700
244	874	2694
245	877	2688
246	879	2682
247	882	2675
248	885	2670
249	887	2663
250	890	2656
251	892	2650
252	895	2643
253	898	2638
254	901	2633
255	904	2628
256	907	2624
257	911	2620
258	914	2616
259	917	2611
260	920	2607
261	923	2601
262	926	2595
263	929	2590
264	931	2584
265	934	2578
266	937	2573
267	939	2567
268	942	2562
269	945	2555
270	947	2549
271	950	2544
272	953	2537
273	955	2531
274	958	2526
275	961	2520
276	963	2514
277	966	2508
278	968	2503
279	971	2497
280	973	2491
281	976	2485
282	978	2480
283	981	2474
284	984	2469
285	986	2463
286	989	2457
287	991	2452
